aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance
149004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Cylindrotheca closterium,NA,,not determined,0,NA,NA,16275000,0.003549745,NA,NA,NA,NA,16275000,0.004010836,NA,NA
231887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Proboscia indica,NA,,not determined,0,NA,NA,15660000,0.003415607,NA,NA,NA,NA,15660000,0.003859275,NA,NA
109963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium lineatum,NA,,not determined,0,NA,NA,15165000,0.003307643,NA,NA,NA,NA,15165000,0.003737286,NA,NA
149115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Rhizosolenia setigera,NA,,not determined,0,NA,NA,14985000,0.003268383,NA,NA,NA,NA,14985000,0.003692927,NA,NA
149050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Odontella aurita,NA,,not determined,0,NA,NA,14925000,0.003255296,NA,NA,NA,NA,14925000,0.00367814,NA,NA
109553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Protoperidinium spp.,NA,,not determined,0,NA,NA,13455000,0.002934674,NA,NA,NA,NA,13455000,0.003315871,NA,NA
109509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Cladopyxis spp.,NA,,not determined,0,NA,NA,12255000,0.002672942,NA,NA,NA,NA,12255000,0.003020141,NA,NA
109956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium horridum,NA,,not determined,0,NA,NA,9705000,0.00211676,NA,NA,NA,NA,9705000,0.002391715,NA,NA
613575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Proboscia curvirostris,NA,,not determined,0,NA,NA,7755000,0.001691445,NA,NA,NA,NA,7755000,0.001911154,NA,NA
149142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Navicula spp.,NA,,not determined,0,NA,NA,7710000,0.00168163,NA,NA,NA,NA,7710000,0.001900064,NA,NA
196834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tintinnid,Dictyocysta spp.,NA,,not determined,0,NA,NA,7196419,0.001569613,7196400,0.016426591,19,1.6338843536654476e-5,NA,NA,NA,NA
149139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Asterionellopsis glacialis,NA,,not determined,0,NA,NA,7080000,0.001544221,NA,NA,NA,NA,7080000,0.001744806,NA,NA
109545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Scrippsiella spp.,NA,,not determined,0,NA,NA,6270000,0.001367552,NA,NA,NA,NA,6270000,0.001545188,NA,NA
109950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium furca,NA,,not determined,0,NA,NA,5640000,0.001230142,NA,NA,NA,NA,5640000,0.00138993,NA,NA
109462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Dinophysis spp. ,NA,,not determined,0,NA,NA,5415000,0.001181067,NA,NA,NA,NA,5415000,0.001334481,NA,NA
2081,Chaetognatha,Chaetognatha,5419,NA,30,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:2081,Chaetognatha NA,Chaetognath,Chaetognatha,carnivore,[1],not determined,0,NA,NA,5391669,0.001175978,5266212,0.01202072,42216,0.03630319,47457,1.1695376324018128e-5,35784,0.001471343
149028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Fragilaria spp.,NA,,not determined,0,NA,NA,5325000,0.001161437,NA,NA,NA,NA,5325000,0.001312301,NA,NA
149230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Leptocylindrus mediterraneus,NA,,not determined,0,NA,NA,5205000,0.001135264,NA,NA,NA,NA,5205000,0.001282728,NA,NA
149630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Stephanopyxis spp.,NA,,not determined,0,NA,NA,5100000,0.001112362,NA,NA,NA,NA,5100000,0.001256852,NA,NA
156509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium arcticum,NA,,not determined,0,NA,NA,4935000,0.001076374,NA,NA,NA,NA,4935000,0.001216189,NA,NA
162254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Asteromphalus spp.,NA,,not determined,0,NA,NA,4890000,0.001066559,NA,NA,NA,NA,4890000,0.001205099,NA,NA
109519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Gonyaulax spp.,NA,,not determined,0,NA,NA,4845000,0.001056744,NA,NA,NA,NA,4845000,0.001194009,NA,NA
149116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Rhizosolenia imbricata,NA,,not determined,0,NA,NA,4680000,0.001020756,NA,NA,NA,NA,4680000,0.001153346,NA,NA
