aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
346030,Acartia (Acartia) negligens,Acartia (Acartia) negligens,341,"Dana, 1849",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartia) negligens,urn:lsid:marinespecies.org:taxname:346030,"Acartia (Acartia) negligens Dana, 1849",Calanoid,Acartia negligens,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,2372,5.173576100963576e-7,1350,3.0815266143065076e-6,1022,8.788577944453092e-4,NA,NA,NA,NA,680.9485,4.555382175695471e-7,680.9485,8.641101711645252e-4,NA,NA,NA,NA,NA,NA
345933,Acartia (Acanthacartia) fossae,Acartia (Acanthacartia) fossae,326,"Gurney, 1927",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) fossae,urn:lsid:marinespecies.org:taxname:345933,"Acartia (Acanthacartia) fossae Gurney, 1927",Calanoid,Acartiaossae,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,2009,4.381835744871764e-7,NA,NA,2009,0.001727618,NA,NA,NA,NA,1339.174,8.958752930294739e-7,1339.174,0.0016993853049960194,NA,NA,NA,NA,NA,NA
346059,Acartia (Odontacartia) pacifica,Acartia (Odontacartia) pacifica,374,"Steuer, 1915",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) pacifica,urn:lsid:marinespecies.org:taxname:346059,"Acartia (Odontacartia) pacifica Steuer, 1915",Calanoid,Acartia pacifica,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,1241,2.706748710495699e-7,NA,NA,1238,0.001064605,NA,NA,3,1.2335204748363058e-7,826.1347,5.526643038502214e-7,825.1347,0.0010470796056541562,NA,NA,NA,NA,1,1.2330676689040678e-7
345943,Acartia (Acanthacartia) tonsa,Acartia (Acanthacartia) tonsa,334,"Dana, 1849",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) tonsa,urn:lsid:marinespecies.org:taxname:345943,"Acartia (Acanthacartia) tonsa Dana, 1849",Calanoid,Acartia tonsa,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,1051,2.2923391577203706e-7,0,0,1051,9.037960293170448e-4,NA,NA,NA,NA,700.7192,4.687643417743912e-7,700.7192,8.891987982208188e-4,NA,NA,NA,NA,NA,NA
346050,Acartia (Odontacartia) australis,Acartia (Odontacartia) australis,365,"Farran, 1936",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) australis,urn:lsid:marinespecies.org:taxname:346050,"Acartia (Odontacartia) australis Farran, 1936",Calanoid,Acartia australis,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,646,1.4089924794361174e-7,NA,NA,646,5.555206802462521e-4,NA,NA,NA,NA,430.6673,2.8810609643385576e-7,430.6673,5.465082811959553e-4,NA,NA,NA,NA,NA,NA
346049,Acartia (Odontacartia) amboinensis,Acartia (Odontacartia) amboinensis,364,"Carl, 1907",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) amboinensis,urn:lsid:marinespecies.org:taxname:346049,"Acartia (Odontacartia) amboinensis Carl, 1907",Calanoid,Acartia amboinensis,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,72,1.570394094727561e-8,NA,NA,72,6.191561761258537e-5,NA,NA,NA,NA,48.0001,3.211091587272756e-8,48.0001,6.091117702280618e-5,NA,NA,NA,NA,NA,NA
346040,Acartia (Acartiura) simplex,Acartia (Acartiura) simplex,355,"Sars G.O., 1905",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) simplex,urn:lsid:marinespecies.org:taxname:346040,"Acartia (Acartiura) simplex Sars G.O., 1905",Calanoid,Acartia simplex,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,59,1.2868507165128626e-8,NA,NA,59,5.073640887697969e-5,NA,NA,NA,NA,39.3335,2.631316829506458e-8,39.3335,4.991343312673404e-5,NA,NA,NA,NA,NA,NA
345940,Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia) sinjiensis,331,"Mori, 1940",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) sinjiensis,urn:lsid:marinespecies.org:taxname:345940,"Acartia (Acanthacartia) sinjiensis Mori, 1940",Calanoid,Acartia sinjiensis,omnivore,[1] [A],not determined,0,omni,TRUE,37,8.07008076457219e-9,NA,NA,37,3.181774793980082e-5,NA,NA,NA,NA,24.6668,1.650149769790888e-8,24.6668,3.130168106704268e-5,NA,NA,NA,NA,NA,NA
346051,Acartia (Odontacartia) bispinosa,Acartia (Odontacartia) bispinosa,366,"Carl, 1907",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) bispinosa,urn:lsid:marinespecies.org:taxname:346051,"Acartia (Odontacartia) bispinosa Carl, 1907",Calanoid,Acartia bispinosa,omnivore,[1] [A],not determined,0,omni,TRUE,25,5.452757273359587e-9,NA,NA,25,2.1498478337703255e-5,NA,NA,NA,NA,16.6666,1.1149555740183896e-8,16.6666,2.1149585583536312e-5,NA,NA,NA,NA,NA,NA
416442,Acartia (Acanthacartia) pietschmani,Acartia (Acanthacartia) pietschmani,329,"Pesta, 1912",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) pietschmani,urn:lsid:marinespecies.org:taxname:416442,"Acartia (Acanthacartia) pietschmani Pesta, 1912",Calanoid,Acartia pietschmani,omnivore,[1] [A],not determined,0,omni,TRUE,3,6.543308728031505e-10,NA,NA,3,2.5798174005243908e-6,NA,NA,NA,NA,2,1.33795204063023e-9,2,2.537960421866045e-6,NA,NA,NA,NA,NA,NA
149755,Acartia (Acartiura) clausi,Acartia (Acartiura) clausi,343,"Giesbrecht, 1889",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) clausi,urn:lsid:marinespecies.org:taxname:149755,"Acartia (Acartiura) clausi Giesbrecht, 1889",Calanoid,Acartia clausi,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,2,4.3622058186876703e-10,NA,NA,2,1.7198782670162606e-6,NA,NA,NA,NA,1.3333,8.919457278861428e-10,1.3333,1.6919313152369988e-6,NA,NA,NA,NA,NA,NA
104192,Acrocalanus,Acrocalanus,390,"Giesbrecht, 1888",180,Genus,104093,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,NA,urn:lsid:marinespecies.org:taxname:104192,"Acrocalanus Giesbrecht, 1888",Calanoid,Acrocalanus spp.,omnivore,[A],not determined,0,omni,TRUE,9694,2.1143611603179137e-6,300,6.847836920681128e-7,9394,0.008078268,NA,NA,NA,NA,6260.3862,4.188048245711666e-6,6260.3862,0.007944306200598182,NA,NA,NA,NA,NA,NA
